# required packages for NextFerretOS.
libc6/stable,now 2.41-12+deb13u1 amd64 [installed]
libcaca0/stable,now 0.99.beta20-5 amd64 [installed,automatic]
libcairo-gobject2/stable,now 1.18.4-1+b1 amd64 [installed,automatic]
libcairo-script-interpreter2/stable,now 1.18.4-1+b1 amd64 [installed,automatic]
libcairo2/stable,now 1.18.4-1+b1 amd64 [installed,automatic]
libcalendarsupport-data/stable,now 4:24.12.3-1 all [installed,automatic]
libcamel-1.2-64t64/stable,now 3.56.2-0+deb13u1 amd64 [installed,automatic]
libcanberra-pulse/stable,now 0.30-18 amd64 [installed,automatic]
libcanberra0/stable,now 0.30-18 amd64 [installed,automatic]
libcap-ng0/stable,now 0.8.5-4+b1 amd64 [installed]
libcap2-bin/stable,now 1:2.75-10+b3 amd64 [installed]
libcap2/stable,now 1:2.75-10+b3 amd64 [installed]
libcbor0.10/stable,now 0.10.2-2 amd64 [installed,automatic]
libcc1-0/stable,now 14.2.0-19 amd64 [installed,automatic]
libcddb2/stable,now 1.3.2-7.1 amd64 [installed,automatic]
libcdparanoia0/stable,now 3.10.2+debian-14+b1 amd64 [installed,automatic]
libcdt5/stable,now 2.42.4-3 amd64 [installed,automatic]
libcfitsio10t64/stable,now 4.6.2-2 amd64 [installed,automatic]
libcgraph6/stable,now 2.42.4-3 amd64 [installed,automatic]
libchromaprint1/stable,now 1.5.1-7 amd64 [installed,automatic]
libcjson1/stable,stable-security,now 1.7.18-3.1+deb13u1 amd64 [installed,automatic]
libclang-common-19-dev/stable,now 1:19.1.7-3+b1 amd64 [installed,automatic]
libclang-cpp19/stable,now 1:19.1.7-3+b1 amd64 [installed,automatic]
libclang-rt-19-dev/stable,now 1:19.1.7-3+b1 amd64 [installed,automatic]
libclc-19-dev/stable,now 1:19.1.7-3 all [installed,automatic]
libclc-19/stable,now 1:19.1.7-3 all [installed,automatic]
libclone-perl/stable,now 0.47-1+b1 amd64 [installed,automatic]
libcloudproviders0/stable,now 0.3.6-2 amd64 [installed,automatic]
libcodec2-1.2/stable,now 1.2.0-3 amd64 [installed,automatic]
libcolorcorrect6/stable,now 4:6.3.6-2 amd64 [installed,automatic]
libcolord2/stable,now 1.4.7-3 amd64 [installed,automatic]
libcom-err2/stable,now 1.47.2-3+b7 amd64 [installed]
libconfig++11/stable,now 1.7.3-2 amd64 [installed,automatic]
libcrypt-dev/stable,now 1:4.4.38-1 amd64 [installed,automatic]
libcrypt1/stable,now 1:4.4.38-1 amd64 [installed]
libcryptsetup12/stable,now 2:2.7.5-2 amd64 [installed,automatic]
libctf-nobfd0/stable,now 2.44-3 amd64 [installed,automatic]
libctf0/stable,now 2.44-3 amd64 [installed,automatic]
libcups2t64/stable,now 2.4.10-3+deb13u2 amd64 [installed,automatic]
libcurl3t64-gnutls/stable,now 8.14.1-2+deb13u2 amd64 [installed,automatic]
libcurl4t64/stable,now 8.14.1-2+deb13u2 amd64 [installed,automatic]
libdata-dump-perl/stable,now 1.25-1 all [installed,automatic]
libdatrie1/stable,now 0.2.13-3+b1 amd64 [installed,automatic]
libdav1d7/stable,now 1.5.1-1 amd64 [installed,automatic]
libdb5.3t64/stable,now 5.3.28+dfsg2-9 amd64 [installed]
libdbus-1-3/stable,now 1.16.2-2 amd64 [installed,automatic]
libdbusmenu-qt5-2/stable,now 0.9.3+16.04.20160218-3+b1 amd64 [installed,automatic]
libdc1394-25/stable,now 2.2.6-5 amd64 [installed,automatic]
libdconf1/stable,now 0.40.0-5 amd64 [installed,automatic]
libddcutil5/stable,now 2.2.0-2 amd64 [installed,automatic]
libde265-0/stable,now 1.0.15-1+b3 amd64 [installed,automatic]
libdebconfclient0/stable,now 0.280 amd64 [installed]
libdebuginfod-common/stable,now 0.192-4 all [installed,automatic]
libdebuginfod1t64/stable,now 0.192-4 amd64 [installed,automatic]
libdecor-0-0/stable,now 0.2.2-2 amd64 [installed,automatic]
libdecor-0-plugin-1-gtk/stable,now 0.2.2-2 amd64 [installed,automatic]
libdeflate0/stable,now 1.23-2 amd64 [installed,automatic]
libdevmapper1.02.1/stable,now 2:1.02.205-2 amd64 [installed,automatic]
libdialog15/stable,now 1.3-20250116-1 amd64 [installed,automatic]
libdisplay-info-bin/stable,now 0.2.0-2 amd64 [installed,automatic]
libdisplay-info2/stable,now 0.2.0-2 amd64 [installed,automatic]
libdjvulibre-text/stable,now 3.5.28-2.2 all [installed,automatic]
libdjvulibre21/stable,now 3.5.28-2.2 amd64 [installed,automatic]
libdmtx0t64/stable,now 0.7.7-1.2+b1 amd64 [installed,automatic]
libdolphinvcs6/stable,now 4:25.04.3-1 amd64 [installed,automatic]
libdouble-conversion3/stable,now 3.3.1-1 amd64 [installed,automatic]
libdpkg-perl/stable,now 1.22.21 all [installed,automatic]
libdrm-amdgpu1/stable,now 2.4.124-2 amd64 [installed,automatic]
libdrm-common/stable,now 2.4.124-2 all [installed,automatic]
libdrm-dev/stable,now 2.4.124-2 amd64 [installed,automatic]
libdrm-intel1/stable,now 2.4.124-2 amd64 [installed,automatic]
libdrm-nouveau2/stable,now 2.4.124-2 amd64 [installed,automatic]
libdrm-radeon1/stable,now 2.4.124-2 amd64 [installed,automatic]
libdrm2/stable,now 2.4.124-2 amd64 [installed,automatic]
libduktape207/stable,now 2.7.0-2+b2 amd64 [installed,automatic]
libdv4t64/stable,now 1.0.0-17.1+b1 amd64 [installed,automatic]
libdvbpsi10/stable,now 1.3.3-1+b2 amd64 [installed,automatic]
libdvdnav4/stable,now 6.1.1-3+b1 amd64 [installed,automatic]
libdvdread8t64/stable,now 6.1.3-2 amd64 [installed,automatic]
libdw1t64/stable,now 0.192-4 amd64 [installed,automatic]
libebackend-1.2-11t64/stable,now 3.56.2-0+deb13u1 amd64 [installed,automatic]
libebml5/stable,now 1.4.5-1+b1 amd64 [installed,automatic]
libebook-1.2-21t64/stable,now 3.56.2-0+deb13u1 amd64 [installed,automatic]
libebook-contacts-1.2-4t64/stable,now 3.56.2-0+deb13u1 amd64 [installed,automatic]
libebur128-1/stable,now 1.2.6-1+b2 amd64 [installed,automatic]
libedata-book-1.2-27t64/stable,now 3.56.2-0+deb13u1 amd64 [installed,automatic]
libedataserver-1.2-27t64/stable,now 3.56.2-0+deb13u1 amd64 [installed,automatic]
libedit2/stable,now 3.1-20250104-1 amd64 [installed]
libeditorconfig0/stable,now 0.12.9+~0.17.1-1 amd64 [installed,automatic]
libefiboot1t64/stable,now 38-3.1+b1 amd64 [installed,automatic]
libefivar1t64/stable,now 38-3.1+b1 amd64 [installed,automatic]
libegl-mesa0/stable,now 25.0.7-2 amd64 [installed,automatic]
libegl1/stable,now 1.7.0-1+b2 amd64 [installed,automatic]
libeis1/stable,now 1.3.901-1 amd64 [installed,automatic]
libelf1t64/stable,now 0.192-4 amd64 [installed]
libencode-locale-perl/stable,now 1.05-3 all [installed,automatic]
libepoxy0/stable,now 1.5.10-2 amd64 [installed,automatic]
libepub0/stable,now 0.2.2-6+b2 amd64 [installed,automatic]
liberror-perl/stable,now 0.17030-1 all [installed,automatic]
libevdev2/stable,now 1.13.4+dfsg-1 amd64 [installed,automatic]
libevent-2.1-7t64/stable,now 2.1.12-stable-10+b1 amd64 [installed,automatic]
libeventviews-data/stable,now 4:24.12.3-1 all [installed,automatic]
libexif12/stable,now 0.6.25-1 amd64 [installed,automatic]
libexiv2-28/stable,now 0.28.5+dfsg-1 amd64 [installed,automatic]
libexiv2-data/stable,now 0.28.5+dfsg-1 all [installed,automatic]
libexpat1/stable,now 2.7.1-2 amd64 [installed,automatic]
libext2fs2t64/stable,now 1.47.2-3+b7 amd64 [installed]
libfaad2/stable,now 2.11.2-1 amd64 [installed,automatic]
libfakekey0/stable,now 0.3+git20170516-3 amd64 [installed,automatic]
libfakeroot/stable,now 1.37.1.1-1 amd64 [installed,automatic]
libfdisk1/stable,now 2.41-5 amd64 [installed]
libffado2/stable,now 2.4.9-2 amd64 [installed,automatic]
libffi8/stable,now 3.4.8-2 amd64 [installed,automatic]
libfftw3-double3/stable,now 3.3.10-2+b1 amd64 [installed,automatic]
libfftw3-single3/stable,now 3.3.10-2+b1 amd64 [installed,automatic]
libfido2-1/stable,now 1.15.0-1+b1 amd64 [installed,automatic]
libfile-basedir-perl/stable,now 0.09-2 all [installed,automatic]
libfile-desktopentry-perl/stable,now 0.22-3 all [installed,automatic]
libfile-fcntllock-perl/stable,now 0.22-4+b4 amd64 [installed,automatic]
libfile-listing-perl/stable,now 6.16-1 all [installed,automatic]
libfile-mimeinfo-perl/stable,now 0.35-1 all [installed,automatic]
libflac14/stable,now 1.5.0+ds-2 amd64 [installed,automatic]
libflashrom1/stable,now 1.4.0-3 amd64 [installed,automatic]
libflite1/stable,now 2.2-7 amd64 [installed,automatic]
libfmt10/stable,now 10.1.1+ds1-4 amd64 [installed,automatic]
libfont-afm-perl/stable,now 1.20-4 all [installed,automatic]
libfontconfig1/stable,now 2.15.0-2.3 amd64 [installed,automatic]
libfontenc1/stable,now 1:1.1.8-1+b2 amd64 [installed,automatic]
libfprint-2-2/stable,now 1:1.94.9-1 amd64 [installed,automatic]
libfreeaptx0/stable,now 0.2.2-1 amd64 [installed,automatic]
libfreetype6/stable,now 2.13.3+dfsg-1 amd64 [installed,automatic]
libfribidi0/stable,now 1.0.16-1 amd64 [installed,automatic]
libftdi1-2/stable,now 1.5-10 amd64 [installed,automatic]
libfuse2t64/stable,now 2.9.9-9 amd64 [installed,automatic]
libfuse3-4/stable,now 3.17.2-3 amd64 [installed,automatic]
libfwupd3/stable,now 2.0.8-3 amd64 [installed,automatic]
libgav1-1/stable,now 0.19.0-3+b1 amd64 [installed,automatic]
libgbm1/stable,now 25.0.7-2 amd64 [installed,automatic]
libgc1/stable,now 1:8.2.8-1 amd64 [installed,automatic]
libgcc-14-dev/stable,now 14.2.0-19 amd64 [installed,automatic]
libgcc-s1/stable,now 14.2.0-19 amd64 [installed]
libgck-1-0/stable,now 3.41.2-3 amd64 [installed,automatic]
libgck-2-2/stable,now 4.4.0.1-3 amd64 [installed,automatic]
libgcr-4-4/stable,now 4.4.0.1-3 amd64 [installed,automatic]
libgcr-base-3-1/stable,now 3.41.2-3 amd64 [installed,automatic]
libgcr-ui-3-1/stable,now 3.41.2-3 amd64 [installed,automatic]
libgcrypt20/stable,now 1.11.0-7 amd64 [installed,automatic]
libgd3/stable,now 2.3.3-13 amd64 [installed,automatic]
libgdbm-compat4t64/stable,now 1.24-2 amd64 [installed,automatic]
libgdbm6t64/stable,now 1.24-2 amd64 [installed,automatic]
libgdk-pixbuf-2.0-0/stable,now 2.42.12+dfsg-4 amd64 [installed,automatic]
libgdk-pixbuf2.0-bin/stable,now 2.42.12+dfsg-4 amd64 [installed,automatic]
libgdk-pixbuf2.0-common/stable,now 2.42.12+dfsg-4 all [installed,automatic]
libgfortran5/stable,now 14.2.0-19 amd64 [installed,automatic]
libgirepository-1.0-1/stable,now 1.84.0-1 amd64 [installed,automatic]
libgit2-1.9/stable,now 1.9.0+ds-2 amd64 [installed,automatic]
libgl-dev/stable,now 1.7.0-1+b2 amd64 [installed,automatic]
libgl1-mesa-dri/stable,now 25.0.7-2 amd64 [installed]
libgl1/stable,now 1.7.0-1+b2 amd64 [installed,automatic]
libgles2/stable,now 1.7.0-1+b2 amd64 [installed,automatic]
libglib2.0-0t64/stable,now 2.84.4-3~deb13u2 amd64 [installed,automatic]
libglib2.0-bin/stable,now 2.84.4-3~deb13u2 amd64 [installed,automatic]
libglib2.0-data/stable,now 2.84.4-3~deb13u2 all [installed,automatic]
libglibmm-2.4-1t64/stable,now 2.66.8-1 amd64 [installed,automatic]
libglvnd0/stable,now 1.7.0-1+b2 amd64 [installed,automatic]
libglx-dev/stable,now 1.7.0-1+b2 amd64 [installed,automatic]
libglx-mesa0/stable,now 25.0.7-2 amd64 [installed]
libglx0/stable,now 1.7.0-1+b2 amd64 [installed,automatic]
libgme0/stable,now 0.6.3-7+b2 amd64 [installed,automatic]
libgmp10/stable,now 2:6.3.0+dfsg-3 amd64 [installed]
libgnustep-base1.31/stable,now 1.31.1-3 amd64 [installed,automatic]
libgnutls-dane0t64/stable,now 3.8.9-3+deb13u1 amd64 [installed,automatic]
libgnutls30t64/stable,now 3.8.9-3+deb13u1 amd64 [installed,automatic]
libgomp1/stable,now 14.2.0-19 amd64 [installed,automatic]
libgpg-error-l10n/stable,now 1.51-4 all [installed,automatic]
libgpg-error0/stable,now 1.51-4 amd64 [installed,automatic]
libgpgme11t64/stable,now 1.24.2-3 amd64 [installed,automatic]
libgpgmepp6t64/stable,now 1.24.2-3 amd64 [installed,automatic]
libgphoto2-6t64/stable,now 2.5.31-4 amd64 [installed,automatic]
libgphoto2-l10n/stable,now 2.5.31-4 all [installed,automatic]
libgphoto2-port12t64/stable,now 2.5.31-4 amd64 [installed,automatic]
libgpm2/stable,now 1.20.7-11+b2 amd64 [installed,automatic]
libgprofng0/stable,now 2.44-3 amd64 [installed,automatic]
libgrantleetheme-data/stable,now 24.12.3-1 all [installed,automatic]
libgrantleetheme-plugins/stable,now 24.12.3-1 amd64 [installed,automatic]
libgraphene-1.0-0/stable,now 1.10.8-5 amd64 [installed,automatic]
libgraphite2-3/stable,now 1.3.14-2+b1 amd64 [installed,automatic]
libgravatar-data/stable,now 4:24.12.3-1 all [installed,automatic]
libgs-common/stable,stable-security,now 10.05.1~dfsg-1+deb13u1 all [installed,automatic]
libgs10-common/stable,stable-security,now 10.05.1~dfsg-1+deb13u1 all [installed,automatic]
libgs10/stable,stable-security,now 10.05.1~dfsg-1+deb13u1 amd64 [installed,automatic]
libgsettings-qt1/stable,now 1.0.0-4 amd64 [installed,automatic]
libgsm1/stable,now 1.0.22-1+b2 amd64 [installed,automatic]
libgssapi-krb5-2/stable,now 1.21.3-5 amd64 [installed]
libgstreamer-gl1.0-0/stable,now 1.26.2-1 amd64 [installed,automatic]
libgstreamer-plugins-base1.0-0/stable,now 1.26.2-1 amd64 [installed,automatic]
libgstreamer1.0-0/stable,now 1.26.2-2 amd64 [installed,automatic]
libgtk-3-0t64/stable,now 3.24.49-3 amd64 [installed,automatic]
libgtk-3-bin/stable,now 3.24.49-3 amd64 [installed,automatic]
libgtk-3-common/stable,now 3.24.49-3 all [installed,automatic]
libgtk-4-1/stable,now 4.18.6+ds-2 amd64 [installed,automatic]
libgtk-4-bin/stable,now 4.18.6+ds-2 amd64 [installed,automatic]
libgtk-4-common/stable,now 4.18.6+ds-2 all [installed,automatic]
libgtk-4-media-gstreamer/stable,now 4.18.6+ds-2 amd64 [installed,automatic]
libgts-0.7-5t64/stable,now 0.7.6+darcs121130-5.2+b1 amd64 [installed,automatic]
libgts-bin/stable,now 0.7.6+darcs121130-5.2+b1 amd64 [installed,automatic]
libgudev-1.0-0/stable,now 238-6 amd64 [installed,automatic]
libgusb2/stable,now 0.4.9-1+b1 amd64 [installed,automatic]
libgvc6/stable,now 2.42.4-3 amd64 [installed,automatic]
libgvpr2/stable,now 2.42.4-3 amd64 [installed,automatic]
libharfbuzz-subset0/stable,now 10.2.0-1+b1 amd64 [installed,automatic]
libharfbuzz0b/stable,now 10.2.0-1+b1 amd64 [installed,automatic]
libheif-plugin-aomenc/stable,now 1.19.8-1 amd64 [installed,automatic]
libheif-plugin-dav1d/stable,now 1.19.8-1 amd64 [installed,automatic]
libheif-plugin-j2kdec/stable,now 1.19.8-1 amd64 [installed,automatic]
libheif-plugin-libde265/stable,now 1.19.8-1 amd64 [installed,automatic]
libheif-plugin-x265/stable,now 1.19.8-1 amd64 [installed,automatic]
libheif1/stable,now 1.19.8-1 amd64 [installed,automatic]
libhfstospell11/stable,now 0.5.4-1+b3 amd64 [installed,automatic]
libhogweed6t64/stable,now 3.10.1-1 amd64 [installed]
libhtml-form-perl/stable,now 6.12-1 all [installed,automatic]
libhtml-format-perl/stable,now 2.16-2 all [installed,automatic]
libhtml-parser-perl/stable,now 3.83-1+b2 amd64 [installed,automatic]
libhtml-tagset-perl/stable,now 3.24-1 all [installed,automatic]
libhtml-tree-perl/stable,now 5.07-3 all [installed,automatic]
libhttp-cookies-perl/stable,now 6.11-1 all [installed,automatic]
libhttp-daemon-perl/stable,now 6.16-1 all [installed,automatic]
libhttp-date-perl/stable,now 6.06-1 all [installed,automatic]
libhttp-message-perl/stable,now 7.00-2 all [installed,automatic]
libhttp-negotiate-perl/stable,now 6.01-2 all [installed,automatic]
libhttp-parser2.9/stable,now 2.9.4-6+b2 amd64 [installed,automatic]
libhunspell-1.7-0/stable,now 1.7.2+really1.7.2-10+b4 amd64 [installed,automatic]
libhwasan0/stable,now 14.2.0-19 amd64 [installed,automatic]
libhwloc-plugins/stable,now 2.12.0-4 amd64 [installed,automatic]
libhwloc15/stable,now 2.12.0-4 amd64 [installed,automatic]
libhwy1t64/stable,now 1.2.0-2+b2 amd64 [installed,automatic]
libibus-1.0-5/stable,now 1.5.32-2 amd64 [installed,automatic]
libical3t64/stable,now 3.0.20-1+b1 amd64 [installed,automatic]
libice6/stable,now 2:1.1.1-1 amd64 [installed,automatic]
libicu76/stable,now 76.1-4 amd64 [installed,automatic]
libidn12/stable,now 1.43-1 amd64 [installed,automatic]
libidn2-0/stable,now 2.3.8-2 amd64 [installed]
libiec61883-0/stable,now 1.2.0-7 amd64 [installed,automatic]
libijs-0.35/stable,now 0.35-15.2 amd64 [installed,automatic]
libimagequant0/stable,now 2.18.0-1+b2 amd64 [installed,automatic]
libimath-3-1-29t64/stable,now 3.1.12-1+b3 amd64 [installed,automatic]
libimobiledevice-1.0-6/stable,now 1.3.0+git20250228-2 amd64 [installed,automatic]
libimobiledevice-glue-1.0-0/stable,now 1.3.1-1 amd64 [installed,automatic]
libincidenceeditor-data/stable,now 24.12.3-1 all [installed,automatic]
libinih1/stable,now 59-1 amd64 [installed,automatic]
libinireader0/stable,now 59-1 amd64 [installed,automatic]
libinotifytools0/stable,now 4.23.9.0-2+b1 amd64 [installed,automatic]
libinput-bin/stable,now 1.28.1-1 amd64 [installed]
libinput10/stable,now 1.28.1-1 amd64 [installed,automatic]
libio-compress-brotli-perl/stable,now 0.004001-2+b3 amd64 [installed,automatic]
libio-html-perl/stable,now 1.004-3 all [installed,automatic]
libio-socket-ssl-perl/stable,now 2.089-1 all [installed,automatic]
libio-stringy-perl/stable,now 2.113-2 all [installed,automatic]
libipc-system-simple-perl/stable,now 1.30-2 all [installed,automatic]
libipt2/stable,now 2.1.2-1 amd64 [installed,automatic]
libisl23/stable,now 0.27-1 amd64 [installed,automatic]
libisoburn1t64/stable,now 1.5.6-1.2+b1 amd64 [installed,automatic]
libisofs6t64/stable,now 1.5.6.pl01-1.1+b1 amd64 [installed,automatic]
libitm1/stable,now 14.2.0-19 amd64 [installed,automatic]
libixml11t64/stable,now 1:1.14.20-1 amd64 [installed,automatic]
libjansson4/stable,now 2.14-2+b3 amd64 [installed]
libjaylink0/stable,now 0.4.0-1 amd64 [installed,automatic]
libjbig0/stable,now 2.1-6.1+b2 amd64 [installed,automatic]
libjbig2dec0/stable,now 0.20-1+b3 amd64 [installed,automatic]
libjcat1/stable,now 0.2.3-1 amd64 [installed,automatic]
libjim0.83/stable,now 0.83-2 amd64 [installed,automatic]
libjpeg62-turbo/stable,now 1:2.1.5-4 amd64 [installed,automatic]
libjq1/stable,now 1.7.1-6+deb13u1 amd64 [installed,automatic]
libjs-jquery/stable,now 3.6.1+dfsg+~3.5.14-1 all [installed,automatic]
libjs-underscore/stable,now 1.13.4~dfsg+~1.11.4-3 all [installed,automatic]
libjson-c5/stable,now 0.18+ds-1 amd64 [installed,automatic]
libjson-glib-1.0-0/stable,now 1.10.6+ds-2 amd64 [installed,automatic]
libjson-glib-1.0-common/stable,now 1.10.6+ds-2 all [installed,automatic]
libjte2/stable,now 1.22-4+b2 amd64 [installed,automatic]
libjxl0.11/stable,now 0.11.1-4 amd64 [installed,automatic]
libjxr-tools/stable,now 1.2~git20170615.f752187-5.3 amd64 [installed,automatic]
libjxr0t64/stable,now 1.2~git20170615.f752187-5.3 amd64 [installed,automatic]
libk5crypto3/stable,now 1.21.3-5 amd64 [installed]
libkaccounts6-2/stable,now 4:25.04.0-1 amd64 [installed,automatic]
libkate1/stable,now 0.4.3-1 amd64 [installed,automatic]
libkcalendarutils-data/stable,now 4:24.12.3-1 all [installed,automatic]
libkcolorpicker-qt6-0/stable,now 0.3.1-1+b2 amd64 [installed,automatic]
libkdcrawqt6-5/stable,now 25.04.0-1 amd64 [installed,automatic]
libkdecorations3-6/stable,now 4:6.3.4-1 amd64 [installed,automatic]
libkdecorations3private2/stable,now 4:6.3.4-1 amd64 [installed,automatic]
libkdepim-data/stable,now 4:24.12.3-1 all [installed,automatic]
libkdepim-plugins/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkdsoap-qt6-2/stable,now 2.2.0+dfsg-3 amd64 [installed,automatic]
libkdsoapwsdiscoveryclient0/stable,now 0.4.0-2 amd64 [installed,automatic]
libkexiv2qt6-0/stable,now 25.04.0-1 amd64 [installed,automatic]
libkeyutils1/stable,now 1.6.3-6 amd64 [installed]
libkf5archive-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5archive5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5auth-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5authcore5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5bookmarks-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5bookmarks5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5codecs-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5codecs5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5completion-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5completion5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5config-bin/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5config-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5configcore5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5configgui5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5configwidgets-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5configwidgets5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5coreaddons-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5coreaddons5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5crash5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5dbusaddons-bin/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5dbusaddons-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5dbusaddons5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5doctools5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5globalaccel-bin/stable,now 5.116.0-1 all [installed,automatic]
libkf5globalaccel-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5globalaccel5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5guiaddons-data/stable,now 5.116.0-2 all [installed,automatic]
libkf5guiaddons5/stable,now 5.116.0-2 amd64 [installed,automatic]
libkf5i18n-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5i18n5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5iconthemes-bin/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5iconthemes-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5iconthemes5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5itemviews-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5itemviews5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5jobwidgets-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5jobwidgets5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5kiocore5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5kiofilewidgets5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5kiogui5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5kiontlm5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5kiowidgets5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5kirigami2-5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5notifications-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5notifications5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5service-bin/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5service-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5service5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5solid5-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5solid5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5sonnet5-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5sonnetcore5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5sonnetui5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5style5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5textwidgets-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5textwidgets5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5wallet-bin/stable,now 5.116.0-1 all [installed,automatic]
libkf5wallet-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5wallet5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5waylandclient5/stable,now 4:5.116.0-1 amd64 [installed,automatic]
libkf5widgetsaddons-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5widgetsaddons5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5windowsystem-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5windowsystem5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5xmlgui-bin/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf5xmlgui-data/stable,now 5.116.0-1 all [installed,automatic]
libkf5xmlgui5/stable,now 5.116.0-1 amd64 [installed,automatic]
libkf6archive-data/stable,now 6.13.0-2 all [installed,automatic]
libkf6archive6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6attica6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6auth-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6authcore6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6baloo6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6balooengine6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6baloowidgets6/stable,now 4:25.04.0-1 amd64 [installed,automatic]
libkf6bluezqt-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6bluezqt6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6bookmarks-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6bookmarks6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6bookmarkswidgets6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6breezeicons6/stable,now 6.13.0-3 amd64 [installed,automatic]
libkf6calendarcore6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6calendarevents6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6codecs-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6codecs6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6colorscheme-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6colorscheme6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6completion-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6completion6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6config-bin/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6config-data/stable,now 6.13.0-2 all [installed,automatic]
libkf6configcore6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6configgui6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6configqml6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6configwidgets-data/stable,now 6.13.0-1 all [installed,automatic]
